City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Waitangi,NZ,60.82,overcast clouds,-43.9535,-176.5597,Hotel Chathams
Port-Aux-Francais,TF,46.42,overcast clouds,-49.35,70.2167,Keravel
Praia Da Vitoria,PT,59.25,broken clouds,38.7333,-27.0667,Salles
Touros,BR,81.66,broken clouds,-5.1989,-35.4608,Pousada Atlântico
Sittwe,MM,77.86,scattered clouds,20.15,92.9,Yuzana Aung Motel 1
Tura,IN,74.48,light rain,25.5198,90.2201,Hotel Polo Orchid
Afaahiti,PF,79.74,light rain,-17.75,-149.2833,Omati Lodge
Georgetown,MY,80.53,few clouds,5.4112,100.3354,Page 63 hostel
Bethel,US,52.74,overcast clouds,41.3712,-73.414,Hampton Inn Danbury
Ponta Delgada,PT,60.19,broken clouds,37.7333,-25.6667,Vila Galé Collection S. Miguel
Kingston,JM,81.55,scattered clouds,17.997,-76.7936,Aphrodite Hotel
Lorengau,PG,82.08,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
Kokopo,PG,79.05,light rain,-4.352,152.2633,Hotel Kokopo
Dogondoutchi,NE,84.99,broken clouds,13.6393,4.0287,Maison Alheri
Queenstown,ZA,63.36,light rain,-31.8976,26.8753,Queens Hotel
Mil'Kovo,RU,46.31,scattered clouds,55.6078,37.7956,Дрозды
Maintirano,MG,77.88,clear sky,-18.0667,44.0167,Hotel Safari
Kudahuvadhoo,MV,83.03,overcast clouds,2.6708,72.8944,Hotel Riu Atoll
Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
Ushuaia,AR,47.86,broken clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
Betulia,CO,66.34,overcast clouds,6.1128,-75.9838,Hotel Betulia Plaza
Lompoc,US,87.01,clear sky,34.6391,-120.4579,Red Roof Inn Lompoc
Margaret River,AU,61.41,overcast clouds,-33.95,115.0667,Margaret River Hotel
Thompson,CA,42.96,broken clouds,55.7435,-97.8558,Thompson Inn
Laguna,US,81.03,clear sky,38.421,-121.4238,Holiday Inn Express & Suites
Guerrero Negro,MX,76.46,broken clouds,27.9769,-114.0611,Plaza Salparaíso
Venado,MX,84.67,few clouds,22.9333,-101.0833,Real Hacienda Copalillos
Sos'Va,RU,44.87,broken clouds,59.1766,61.8558,ОИК-4
Puerto Natales,CL,55.85,clear sky,-51.7236,-72.4875,Dorotea Patagonia Hostel
Bemidji,US,31.05,light snow,47.4736,-94.8803,SouthShore
Santana,BR,80.78,broken clouds,-0.0583,-51.1817,Hotel Teodoro
Korla,CN,63.57,few clouds,41.7597,86.1469,Silver Star Hotel
Altay,CN,43.36,clear sky,47.8667,88.1167,Sunshine Holiday Hotel
Stornoway,GB,38.08,light rain,58.2093,-6.3865,County Hotel
Lihue,US,76.73,clear sky,21.9789,-159.3672,Kauai Palms
Blackmans Bay,AU,42.93,clear sky,-43.0167,147.3167,Villa Howden
Oebisfelde,DE,53.06,overcast clouds,52.4333,10.9833,Hotel am Markt
Puerto Ayora,EC,82.54,broken clouds,-0.7393,-90.3518,Hotel Albatross
Yorkton,CA,37.24,clear sky,51.2167,-102.4677,Holiday Inn Express
Palafrugell,ES,56.32,clear sky,41.9174,3.1631,Casa Peya
Siwa Oasis,EG,68.31,clear sky,29.2041,25.5195,Flower of the city hotel
Punta Arenas,CL,51.91,few clouds,-53.15,-70.9167,Hostal Patagonia Heritage Home
Infanta,PH,78.35,clear sky,14.7425,121.6494,WMV Hotel & Restaurant
Palu,ID,73.44,scattered clouds,-0.8917,119.8707,Ujung Pandang Hotel
Acapulco De Juarez,MX,87.62,scattered clouds,16.8634,-99.8901,Hotel del Valle
Revda,RU,41.4,overcast clouds,56.801,59.9303,Металлург
Cidreira,BR,77.07,broken clouds,-30.1811,-50.2056,Hotel Castelo
Nabire,ID,75.2,overcast clouds,-3.3667,135.4833,Hotel Anggrek
Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Lagoon Lodge
Maceio,BR,80.04,scattered clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
Hasaki,JP,65.84,overcast clouds,35.7333,140.8333,大新旅館
Vuokatti,FI,32.31,scattered clouds,64.146,28.2697,Hotelli Vuokatinranta
Invercargill,NZ,52.02,overcast clouds,-46.4,168.35,The Grand
Port Elizabeth,ZA,68.31,few clouds,-33.918,25.5701,Waterford Hotel
Nemuro,JP,41.05,light rain,43.3236,145.575,お宿エクハシ
Whakatane,NZ,63.09,overcast clouds,-37.9585,176.9854,Whakatane Hotel
Port-Vila,VU,82.0,scattered clouds,-17.7338,168.3219,Holiday Inn Resort Vanuatu
