City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Waitangi,NZ,-43.9535,-176.5597,60.82,83,100,1.01,overcast clouds
Andergrove,AU,-21.0833,149.1833,75.0,81,82,19.62,broken clouds
Port-Aux-Francais,TF,-49.35,70.2167,46.42,88,100,32.66,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,59.25,77,75,3.44,broken clouds
Touros,BR,-5.1989,-35.4608,81.66,79,53,11.56,broken clouds
Sittwe,MM,20.15,92.9,77.86,88,46,6.26,scattered clouds
Saudarkrokur,IS,65.7461,-19.6394,27.0,80,100,1.72,overcast clouds
Tura,IN,25.5198,90.2201,74.48,73,88,8.25,light rain
Grytviken,GS,-54.2811,-36.5092,36.84,98,100,14.09,light rain
Afaahiti,PF,-17.75,-149.2833,79.74,82,83,18.63,light rain
Badger,US,64.8,-147.5333,32.38,44,0,3.44,clear sky
Georgetown,MY,5.4112,100.3354,80.53,82,20,3.44,few clouds
Bethel,US,41.3712,-73.414,52.74,70,97,5.99,overcast clouds
Dudinka,RU,69.4058,86.1778,23.09,86,100,16.89,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,60.19,67,75,8.05,broken clouds
Kingston,JM,17.997,-76.7936,81.55,69,33,8.05,scattered clouds
Lorengau,PG,-2.0226,147.2712,82.08,82,100,16.28,overcast clouds
Kokopo,PG,-4.352,152.2633,79.05,86,100,14.14,light rain
Dogondoutchi,NE,13.6393,4.0287,84.99,10,62,9.6,broken clouds
Queenstown,ZA,-31.8976,26.8753,63.36,89,65,5.03,light rain
Hadibu,YE,12.65,54.0333,79.14,74,79,2.53,broken clouds
Mil'Kovo,RU,55.6078,37.7956,46.31,59,32,6.85,scattered clouds
Maintirano,MG,-18.0667,44.0167,77.88,82,2,4.65,clear sky
Kudahuvadhoo,MV,2.6708,72.8944,83.03,72,96,6.51,overcast clouds
Adamstown,PN,-25.066,-130.1015,76.3,67,90,17.52,overcast clouds
Iskateley,RU,67.6803,53.1512,20.32,91,6,8.46,clear sky
Bathsheba,BB,13.2167,-59.5167,81.21,69,20,19.57,few clouds
Ushuaia,AR,-54.8,-68.3,47.86,71,75,24.16,broken clouds
Yellowknife,CA,62.456,-114.3525,23.56,54,75,8.05,broken clouds
Albany,US,42.6001,-73.9662,56.91,62,100,1.99,overcast clouds
Betulia,CO,6.1128,-75.9838,66.34,75,90,3.96,overcast clouds
Lompoc,US,34.6391,-120.4579,87.01,16,0,12.66,clear sky
Buka,UZ,40.8108,69.1986,59.07,92,100,0.74,overcast clouds
Margaret River,AU,-33.95,115.0667,61.41,78,99,7.72,overcast clouds
Thompson,CA,55.7435,-97.8558,42.96,33,75,3.44,broken clouds
Vadso,NO,70.0744,29.7487,28.56,74,0,6.91,light snow
Laguna,US,38.421,-121.4238,81.03,29,0,4.61,clear sky
Guerrero Negro,MX,27.9769,-114.0611,76.46,44,76,13.78,broken clouds
Venado,MX,22.9333,-101.0833,84.67,21,16,15.28,few clouds
Sos'Va,RU,59.1766,61.8558,44.87,87,82,7.29,broken clouds
